Name,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Plastic,Furniture,Composite,Rubble,Paint
Epping Forest Borough Council,852.88,10.67,0,3473.98,0,11.136,0,0,0,0,0,198.622,25.55,2805.485,0,11.618,0.396,0,0
Gosport Borough Council,229.68,48.8,0,45.42,0,2.26,0,0,0,0,0,0,55.15,1186.44,0,0,0,0,0
Malvern Hills District Council,121.97,15.4,0.36,393.42,0,1.72,0,0,0,0,0,168.81,17.15,1780.5,0,0,0,0,0
East Hertfordshire District Council,0,1007.43,0,3256.52,0,0.92,0,0,0,0,0,0,16.834,2093.16,0,0,0,0,0
Canterbury City Council,92.74,1234.66,0,2867.57,0,7.29,0,0,0,0,0,0,22.3,1650.91,0,0,0,0,0
Blackpool Borough Council,91.56,1257.198,72.479,1263.8,351.94,170.437,1.84,0,19.64,22.28,2.24,8.519,61.264,1413,19.92,25.327,17.763,97.54,3.76
Leicestershire County Council,90.06,821.706,738.286,2721.36,0,837.093,25.514,0,0,278.12,23.873,29.734,141.435,0,6.404,18.972,0,0,0
Blaby District Council,45.776,111.968,8.985,973.86,0,6.033,0.962,0,0,0,0,420.393,98.161,2228.336,5.251,20.973,0,0,0.518
Broxtowe Borough Council,471.72,2.91,1.15,1102,0,5.99,0,0,0,0,0,459.63,8.04,1821.1,0,0,0.19,0,0
Suffolk Coastal District Council,807.97,8.7,201.23,3449.06,29.64,0.25,5.28,0.2,0,2.82,2.4,415.58,15.87,2526.67,0,0,0.538,0,0
Stratford-on-Avon District Council,0,0,0,4013.28,0,10.59,0,0,0,0,0,93.7,1.871,3565.18,0,0,0,0,0
Sunderland City Council,0,184.77,96.29,1923.37,0,118.96,0.74,8.38,0,58.09,2.21,73.47,221.86,4705.32,43.87,0,51.3,637.03,0
Kirklees MBC,1272,343,257,2555,978,332,3,24,0,157,10,37,60,5486,16,0,1,2008,13
Wycombe District Council,0,1923.95,0,4147.52,0,0,1.278,1.66,0,0,0,0,30.96,1834.24,0,0,0,0,0
Portsmouth City Council,509.99,154.72,160.16,744.71,0,121.06,3.89,0,0,40.76,2.37,84.22,77.13,2266.56,0,0,0,578.43,0
Stevenage Borough Council,425.72,837.82,0,1251.8,0,5.997,0,0,0,0,0,199.01,16.895,216.31,0,0,0,0,0
Gravesham Borough Council,256.42,15.03,0.92,1191.8,0,18.55,0,0,0,0,0,0,14.53,1460.62,0,0,0,0,0
Hinckley and Bosworth Borough Council,35.94,1138.941,3.863,1751.12,0,9.617,0,0,0,0,0,501.47,34.177,1117.28,4.272,67.077,0,0,0
Broadland District Council,237.67,116.936,0.248,2589.26,0,4.16,0,0,0,0,0,0.089,18.167,2896.52,4.604,0,0.01,0,0
Northamptonshire County Council,54.19,830.38,628.63,2278.09,0,824.35,26.47,13.04,0,235.02,26.44,445.36,113.69,0,146.58,0,0.52,2165.14,81.41
Lichfield District Council,1.953,3.56,0,2220.5,0,3.195,0,0,0,0,0,220.78,12.82,2912.26,0,0,0,0,0
Elmbridge Borough Council,0,1.55,0,2973.2,0,7.69,0,0,0,0,0,58,10.78,3546.28,0,0,0.38,0,0
City of London,0,0,0,26,0,4.66,0,0,0,0,0,55.32,2.98,228.53,0,0,0,0,0
Royal Borough of Kensington and Chelsea,0,41.55,25.88,318.59,0,67.63,0,0,0,0,0.58,47,35.46,4558.49,0.69,0,0.15,0,0
Darlington Borough Council,418.59,953.18,51.23,702.94,269.92,58.693,0,11.12,0,17.92,0,0,36.621,546.21,19.39,29.655,0.24,1612.56,0
Winchester City Council,426.98,4.85,0,1142.92,0,3.52,0,0,0,0,0,0,52.71,2015.92,0,0,0,0,0
Shepway District Council,1.065,1310.66,0,1697.38,0,10.29,0.321,0,0,0,0,0,26.376,1404.32,0,0,0,0,0
Oadby and Wigston Borough Council,212.76,643.663,32.14,430.26,0,2.506,0,0,0,0,0,151.927,26.118,0,65.36,0,0,0,0
South Norfolk Council,227.916,25.56,0,1760.574,0,14.06,0,2.56,0,0,3.54,1.17,48.887,3048.72,0,0,0.013,0,0
Kettering Borough Council,0,604.69,4.42,1992.52,0,0,0,0,0,0,0,0,9.767,1785.75,5.36,0,0,0,0
Nottinghamshire County Council,378.19,838.84,774.84,3826.11,2714.48,678.87,17.99,18.27,0,380.56,13.05,0,269.94,0,31.53,0,0,2649.17,0
Staffordshire Moorlands District Council,34.93,511.5,0,2400.84,0,2,0,0,0,0,0,231.78,6.64,1489.83,0,6.7,0,0,0
Reigate and Banstead Borough Council,0,2052,0,2717,0,5,0,0,0,0,0,0,49,1364,0,0,0,0,0
Chichester District Council,0,173.77,0,945.28,0,18.96,0,0,0,0,0,0,7.74,3228.52,0,0,0,0,0
Merseyside WDA (MBC),109.74,1006.8,1210.26,3319.04,5646.47,1212.218,26.48,52.56,0,346.6,20.38,302.28,1437.47,193.7,518.83,0,729.46,6140.56,68.69
Croydon LB,38.033,2647.71,185.39,5218.62,1093.89,305.609,6.31,1.74,0,87.96,5.5,1.02,131.23,3202.42,124.992,0,73.75,1342.98,0
Richmond upon Thames LB,0,3090.82,136.52,3911.12,161.57,128.36,4.32,0,0,20.66,1.1,26.78,89.5,2074.36,0,25,42.74,463.22,0
Warrington Borough Council,9.87,209.67,146.714,3001.14,686.56,139.628,0.714,0,0,30.84,5.57,86.75,139.971,4879.04,53.46,7.609,32.56,330.519,0
Amber Valley Borough Council,740.62,56.73,0.44,705.9,0,10.02,0,0,0,0,0,0.14,0,1933.48,0.6,5.6,0,0,0
Castle Point Borough Council,490.018,5.291,0.045,1434.32,0,0.921,0,0,0,0,0,62.373,24.665,1807.18,0.171,5.539,0,0,0
Thurrock Council,0,63.54,51.228,2463.46,534.04,67.005,1.369,0,77.96,18.54,3.4,0,12.48,2892,0,0,0,261.72,6.23
East Hampshire District Council,769.17,1.488,0.02,316.06,0,5.16,0,0,0,0,0,0,48.12,2021.98,0.015,0,0,0,0
Hertfordshire County Council,118.6,1234.95,1197.53,2232.28,2637.68,1416.64,57.25,38.08,0,224.74,30.29,26.39,248.69,70.44,285.65,0,0.78,1960.71,0
Tunbridge Wells Borough Council,567.57,1705.18,8.35,2614.66,0,6.08,0,0,0,0,0,4.82,16.545,271.47,0,0,0,0,0
Fylde Borough Council,16.67,946.35,0,1460.9,0,4.35,0.92,1.13,0,0,0,0,12.96,883.95,13.17,13.276,0.36,0,0
Blackburn with Darwen Borough Council,27.53,173,150.87,1211.71,0,140.77,3.15,2.3,0,100.91,3.11,18.22,132.27,3383,63.36,0,47.6,0,0
Lincoln City Council,34.38,59.679,8.434,1205.04,0,0,0,0,0,0,0,75.83,90.83,1991.38,0,3.042,9.28,0,0
Craven District Council,7.87,648.879,0,494.62,0,3.345,0,2.31,0,0,0,0,14.601,734.86,0,0,1.423,0,0
Tandridge District Council,5.08,71.2,0.22,1440.53,0,9.58,0.32,0,0,0,0,0,32.12,2295.26,0.41,0,0,0,0
Worthing Borough Council,0,36.13,0,853.86,0,0,0,0,0,0,0,0,10.48,2350.32,0,0,0,0,0
Sefton MBC,1347.03,2054.91,301.54,4107.66,0,24.01,0,0,0,0,0,0,53.1,1705.36,8.84,0,0.72,0,0
Newcastle-upon-Tyne City Council MBC,0,190.12,114,1969.72,723,160.96,0.99,9.44,0,46,3.11,10,300.25,4806.7,0,0,4,823,0
Harrow LB,0,0,113.4,4726,222.5,153.5,4.2,0,0,12.1,4.4,101.4,123.66,4430.2,0,0,50.3,0,0
South Bucks District Council,0,494.26,0,1123.1,0,10.679,0,9.76,0,0,0,0,47.346,1206.537,0,0,0,0,0
Erewash Borough Council,0,0,0,1641.24,0,28.97,0,0,0,0,0,0,8.53,2923.13,0,0,0,0,0
Plymouth City Council,464.68,379.08,307.22,1667.53,1082.54,433.89,7.57,2.28,0,114.42,6.76,34.01,94.27,4372.04,32.27,2.86,0,1216.51,0
Brighton and Hove Council,1417.9,294.995,148.4,639.56,210.62,245.16,5.62,2.34,75.16,45.06,1.96,59.58,122.36,3470.81,3.32,0,2.396,433.82,1
Harlow District Council,3.049,8.495,0.218,843.46,0,4.597,0,0,0,0,0,152.727,19.595,1940.12,0.181,0,0,0,0
Hart District Council,747.1,5.06,0,672.66,0,6.995,0,0,0,0,0,0,53.655,1580.56,0,0,0,0,0
Hertsmere Borough Council,18.239,668.755,0.115,1820.56,0,3.326,0,0,0,0,0,0,8.721,1370.74,0.453,0,0,0,0
Preston City Council,5.68,1277.82,7.82,1480,0,15.11,0.04,0.73,0,6.86,0,96.86,10.677,1235.4,22.58,49.48,0.028,0,0
West Lindsey District Council,4.05,36.104,0.071,1969.66,0,0,0,0,0,0,0,262.79,36.719,2316.83,0,7.834,7.18,0,0
Selby District Council,536.09,842.28,70.58,1645.68,0,4.73,0,0,0,0,0,0,15.66,0,152.7,0,0.7,0,0
Gedling Borough Council,647.22,29.66,3.27,972.22,0,11.65,0,0,0,0,0,163.07,11.12,2004.73,0.63,0,0,0,0
Staffordshire County Council,50.64,782.93,598.53,1729.84,72,942.95,25.18,24.34,0,110.46,19.95,91.62,600.78,0,239.57,3.3,61.21,2689.01,126.65
Bolton MBC,5.468,2530.353,0.868,3531.3,0,0,0,0,0,0,0,23.98,12.257,2527.28,0,13.945,0,0,0
Leeds City Council MBC,2313.45,780.67,438.13,7485.12,2014.7,547.43,13.92,26.67,0,210.22,2.66,29.17,187.4,9322.06,2.99,209.95,0.86,0,27.55
Barnet LB,19.44,206.64,125.84,5195.32,784.7,211.5,4.76,7.8,0,56.24,4.86,4.72,173.39,6662.52,2.21,27.41,0,599.24,0.36
Lambeth LB,0,113.88,49.89,1614.93,124.66,152.1,2,1.1,0,0,1.18,68.93,65.32,4889.6,5.48,7.5,0.32,0,0
South Gloucestershire Council,1359.94,2767.38,470.2,4722.36,1316.7,371.84,14.9,18.4,0,95.92,13.88,14.1,378.31,820.49,76.9,0,30.1,811.8,0
Derbyshire Dales District Council,0,721.061,0,1778.32,0,8.44,0,0,0,0,0,0,19.76,970.8,0,0,0,0,0
Lewes District Council,536.178,914.434,64.414,294.73,0,4.18,0,0,0,0,0,0,18.201,0,88.95,0,1.713,0,0
Tendring District Council,391.763,1346.73,0,659.5,0,0,0,0,0,0,0,157.968,22.587,307.7,0,119.951,0.675,0,0
Forest of Dean District Council,495.36,602.79,108.52,1931.24,0,6.82,0.78,0,0,0,0,5.94,33.29,0,43.08,48.01,1.62,0,0
Rushmoor Borough Council,476.32,13.6,0,439.7,0,2.18,0,0,0,0,0,0,46.63,1207.68,0,0,0,0,0
Bromsgrove District Council,14.3,4.3,0,1215.36,0,4.86,0,0,0,0,0,362.07,5.6,2588.01,0,30.29,0,0,0
Three Rivers District Council,12.88,9.1,0,2719.25,0,3.41,0,0,0,0,0,0,11.03,2443.47,0,0,0,0,0
Isle of Wight Council,49.02,56.88,367.59,3211.4,511.28,164.42,16.96,25,0,21.3,1.76,0,20.14,3567.46,75.88,3.72,0,822.24,0
West Lancashire Borough Council,20.2,1031.948,2.65,2038.88,0,8.409,0,0,0,0,0,0.608,21.09,1197.88,0,9.478,6.4,0,0
North Yorkshire County Council,184.13,1113.319,764.265,2029.108,2010.64,794.011,19.981,29.093,0,12.74,18.7,56.836,49.645,2.66,74.77,0,0,363.177,0
Rushcliffe Borough Council,513.22,14.51,0,2220.92,0,0,0,0,0,0,0,350.02,12.44,2004.32,0,0,1.16,0,0
Newcastle-under-Lyme Borough Council,687.297,1044.349,155.346,2958.48,0,5.739,0,0,0,0,0,482.62,25.059,0,210.929,21.572,0,0,0
Epsom and Ewell Borough Council,482.92,481.37,91.83,1333.98,0,4.92,0,0,0,0,0,16,10.74,731.14,1.61,2.19,0,0,0
West Sussex County Council,0,1272.02,1171.56,5443.83,623.76,1783.74,57.27,56.14,0,283.61,28.36,80.83,397.87,114.22,0,41.54,0,4046.91,0
Rochdale MBC,0,1797.84,0,1723.19,0,0,0,0,0,0,0,0,23.942,1961.14,0,0,0,0,0
Rotherham MBC,125.76,1906.673,204.068,2098.06,0,274.694,4.806,0,0,53.12,4.239,17.498,241.285,1460.82,115.98,0,184.143,771.56,0
Birmingham City Council,304.12,6836.33,345.09,5778.39,1554.63,493.07,16.93,0,0,0,3.56,117.33,180.1,4228.98,33.07,0,1.19,3019.64,0
Sutton LB,1.48,86.76,105.93,1390.38,563.39,139.36,2.67,6.24,0,26.28,3,0,34.3,3912.56,40.26,0,26.58,542.82,0
Cambridge City Council,2.192,74.346,0.16,2414.38,0,2.135,0.797,0,0,0,0,12.16,63.267,2974.511,0.288,0,0,0,0
Redditch Borough Council,3.53,1.04,0,0,0,6.29,0,0,0,0,0,215.54,35.03,2139.76,0,21.46,0,0,0
Lancashire County Council,166.61,1855.237,1390.752,1979.25,4699.26,1224.552,37.642,30.79,0,672.63,31.428,0,218.621,0,534.547,221.52,98.808,0,1.58
Lincolnshire County Council,79.71,496.99,542.065,3151.34,1902.16,918.66,8.001,0,80.2,226.52,11.952,40.38,110.739,0,139.99,9.56,36.813,1257.78,0
Nottingham City Council,59.47,69.06,84.85,1963.28,414.32,112.65,2.26,0,14.2,26.34,1.24,127.44,15.87,4845.45,49.26,0,1.41,2205.75,0
South Oxfordshire District Council,10.06,6.752,0,3394.99,0,1.657,0.672,0,0,0,0,97.23,61.054,4766.449,0.508,0.31,0,0,0
Mendip District Council,769.77,1240.118,113.792,1409.32,0,0,0,0,0,0,0,34.532,57.554,0,147.508,6.317,0,0,0
Stoke-on-Trent City Council,11.48,822.536,136.12,2039.24,684.34,245.016,5.174,0,59.8,52.9,3.44,3.88,41.084,3415.84,3.8,14.9,4.919,484,0
Runnymede Borough Council,18.726,16.846,0,1046.92,0,0,0,0,0,0,0,30.04,9.942,1631.1,0,0,0,0,0
Crawley Borough Council,0,0,0,249.06,0,5.46,0,0,0,0,0,0,31.24,1805.72,0,0,0,0,0
Trafford MBC,0,2933.83,0,6476,0,4.94,0,0,0,0,0,0,28.05,2507,0,0,0,0,0
Solihull MBC,984.765,246.978,101.64,3723.6,169.94,135.073,7.02,0,0,21.28,2.576,33.974,47.71,3256.79,2.982,0,0,926.4,32.06
Enfield LB,0,155.11,81.88,4071.71,231.02,200.785,0,0,0,0,0,168.66,80.76,6349.59,26.1,16.801,0,0,0
Bracknell Forest Borough Council,551.02,122.15,118.33,1863.33,460.88,176.63,10.84,2.79,65,32.65,4.55,52.64,131.47,1851.91,8.76,0,3.16,319.15,18.69
Allerdale Borough Council,191.54,1205.58,5.4,1330.3,0,4.83,0,0,0,0,0,0,0,731.06,7.16,0,0,0,0
Bolsover District Council,14.085,367.273,0,1031.1,0,9.88,0,0,0,0,0,2.88,8.752,1165.54,0,0,0,0,0
Wyre Forest District Council,11.04,8.48,0,426.42,0,4.01,0,0,0,0,0,226.36,19.3,2584.08,0,0,0,0,0
Hyndburn Borough Council,420.28,704.63,0,393.9,23.94,9.8,0.63,0.65,0,0,0,0,0.84,277.8,0,19.78,0,0,0
North Kesteven District Council,41.74,0,0,2028.92,0,0,0,0,0,0,0,100.99,3.199,2854.2,0,0,5.98,0,0
Hambleton District Council,558,706.84,92.23,1833.04,0,6.7,0,0,0,0,0,0,17.31,0,94.13,0,1.57,0,0
South Somerset District Council,1130.194,1882.24,169.424,2209.59,0,0,0,0,0,0,0,54.236,68.448,0,218.854,21.094,0,0,0
Ipswich Borough Council,412.74,86.14,9,2061.3,25.08,48.65,0,0,0,1.88,0,181.61,21.26,2220.22,0,63,0.39,17.54,0
Waverley Borough Council,0,47.23,0,1748,0,5.47,0,0,0,0,0,54,23.95,3616,0,0,0,0,0
North Warwickshire Borough Council,463.34,707.94,132.66,1444.32,0,0,0,0,0,0,0,42.3,0,0,0,0,0,0,0
Hillingdon LB,135,316,101,3439,239,141,1,0,0,24,3,0,157,4744,21,0,103,199,0
Windsor and Maidenhead Borough Council,0,68.48,100.96,2689.84,371.64,147.6,6.5,0,63.62,35.56,1.66,25.54,22.82,4154.08,0,0,0,194.12,0
Eden District Council,0,642.15,0,830.94,0,8.44,0,0,0,0,0,157.062,17.46,525.98,38.18,0,0,0,0
High Peak Borough Council,537.88,0,0,1436.3,0,4.12,0,0,0,0,0,0,8.35,1508.54,0,0,1.53,0,0
Poole Borough Council,0,136.97,165.15,2442.04,714.44,246.82,5.84,6.62,0,59.1,3.4,11.26,50.95,3469.93,0,23.43,0,421.3,0
Eastbourne Borough Council,348.2,0,0,917.339,0,1.9,0,0,0,0,0,28.559,0,1719.88,0,0,0,0,0
Gloucestershire County Council,82.8,641.028,564.242,1843.46,811.81,597.648,25.994,0,321.36,245.74,18.4,31.023,80.97,0,34.289,0,0.108,1843.84,0
Dartford Borough Council,399.65,10.55,0.92,317.5,0,3.44,0,0,0,0,0,0,21.74,1686.08,0,0,0,0,0
Ribble Valley Borough Council,20.25,512.54,1.32,781.08,0,2.48,0,0,0,0,0,0,3.437,571.44,0,0,0,0,0
Scarborough Borough Council,40.18,0,11.24,2122.36,0,0,0,0,0,0,0,0,0,3071.5,0,0,0,0,0
Waveney District Council,524.146,0,0,2989.04,0,0,0,0,0,0,0,185.05,7.76,2488.56,0,0,0,0,0
Warwick District Council,628.42,1281.44,63,3029.74,0,0,0,0,0,0,0,615.2,21.4,201.38,201.1,0,0,0,0
Bury MBC,0,2189.4,0,3330.64,0,5.98,0,0,0,0,0,0,6.89,2088.12,0,0,0,0,0
Brent LB,2.3,51.97,46.3,3685.52,36.88,37.16,0,2.74,12.74,5.24,1.68,231.22,126.61,5117.72,9.2,0,12.88,29.66,0
Merton LB,11.35,120.57,84.24,1662.68,521.46,147.35,0.67,0,0,22.72,2,1.86,101.38,3985.94,38.76,0,39.88,531.32,0
East Devon District Council,1053.68,1296.41,157.8,1452.676,0,2.115,0,0,0,0,0,479.95,105.877,0,168.36,6.477,0,0,0
Rother District Council,525.41,76.248,3.14,1322.952,0,22.25,0,0,0,0,0,0,43.16,1706.508,0,0,0,0,0
Gloucester City Council,617.81,914.39,119.44,1554.7,21.64,16.72,0,0,0,0,0,38.21,25.1,0,167.97,92.61,0.92,0,0
Maidstone Borough Council,36.51,46.21,0,2817.04,0,2.12,0,0,0,0,0,0,5.01,3886.3,0,0,0,0,0
Wyre Borough Council,17.71,1244.36,0.135,2015.02,0,13.148,0,0.42,0,0,0,0.207,20.77,1007.91,0,33.629,0,0,0
Leicester City Council,57,314,202,686,803,184,4,3,0,29,6,0,41.4,4024,0,8,0,821,3
Great Yarmouth Borough Council,72.13,4.97,0,464.76,0,30.04,0,0.11,0,0,0,0,4.25,2294,0,0,0.01,0,0
Corby Borough Council,11,0,0,786.8,0,0,0,0,0,0,0,335.32,20.42,1572.12,0,0,0,0,0
Oxfordshire County Council,85.46,689.75,682.41,1839.82,2309.46,905.03,24.92,11.66,0,127.82,4.8,52.33,85.9,0,31.16,127.5,0,436.35,0
Salford City Council MBC,0,2463,0,2786,0,0,0,0,0,0,0,0,0,2101,0,0,0,0,0
Sheffield City Council,106,3899.5,343.8,1877.3,875.5,387.4,8.9,0,0,93.8,3.8,18.3,81.9,4560.1,0,0,0,0,0
Coventry City Council,0,209.42,86.13,2721.27,685.08,177.36,3.72,6.75,194.13,50.73,2.53,2.05,166.84,5164.28,31.78,0,30.92,1787.34,8.45
Hackney LB,457.78,189.79,67.44,1615.9,78.84,77.45,0,2.16,0,0,0,3.18,111.89,4335.18,0,14.89,83.84,0,0
Waltham Forest LB,6.44,108.98,74.2,1798.14,538.3,129.48,0,0.2,0,38.78,2.84,120.28,132.4,5456.32,13.48,7.54,0,669.78,9.26
East Cambridgeshire District Council,47.088,16.68,0,2132.9,0,0,0,0,0,0,0,19.976,4.944,1988.714,1.6,0,0,0,0
Redcar and Cleveland Borough Council,32.17,821.96,52.82,1642.95,405.06,71.201,0,9,10.94,30.52,1.196,39.09,12.233,2191.87,20.73,0,54,519.78,0.984
South Hams District Council,517.48,1294.58,9.71,2196.66,0,6.22,0,0,0,0,0,255,48.81,187.13,0,36.74,2.97,0,0
Basildon District Council,865.386,42.8,13.409,3761.34,170.08,52.7,0,0,0,0,0.167,199.332,38.439,3561.23,0,0,0,0,0
Kingston-upon-Hull City Council,3.16,265.29,177.54,3422.78,896.06,295.82,3.06,9.28,0,70.08,3.13,0.72,139.72,5608.26,2.05,0,0,891.14,0
Swale Borough Council,39.34,92.3,0,1388.08,0,10.24,0,0,0,0,0,0,23.78,3540.72,0,0,0,0,0
Rutland County Council,34.196,94.784,6.65,1050.22,148.6,126.684,1.2,2.26,0,10.62,0.396,0,10.937,1047.38,19.48,9.26,47.98,174.77,0
Kings Lynn and West Norfolk Borough Council,0,7.38,0,2499.948,0,7.2,0,4.36,0,0.42,0,0,36.6,3704,0,0,0,0,0
Northampton Borough Council,1156.88,2039.65,378.89,3314.72,0,0,0.53,0,0,55.12,0,25.89,15.84,0,523.26,7.26,0,0,0
Vale of White Horse District Council,0,2.725,0,2602.6,0,1.243,0.402,0,0,0,0,84.45,30.907,3828.132,0,0,0,0,0
Sedgemoor District Council,684.963,1144.067,89.438,1760.6,0,0,0.94,0,0,0,0,37.345,43.938,0,176.805,16.39,0.968,0,0
Suffolk County Council,468.1,744.274,947.104,2589.1,2357.04,1205.58,33.999,0,0,123.22,20.424,15.954,203.25,0,400.295,49.779,4.828,1468.74,0
Wigan MBC,20.9,257.1,263.91,4080.24,1099.87,330.86,8.82,23.92,0,66,6.45,33.53,139.8,6522.52,154.23,0,15.54,1216.04,33.5
Knowsley MBC,16.27,6.41,1.03,967,7.52,5.82,0,0,0,0,0,0,30.01,3055.81,0,0,2.34,0,0
Walsall MBC,0,155.38,111.36,3218.08,702.7,189.25,3.73,2.32,0,0,2.44,0,37.54,5812.96,0,0,0,446.02,0
Islington LB,5.66,84.85,54.7,1138.93,284.74,103.75,0,0,0,23.18,0.26,15.18,78.38,3842.8,15.4,34.37,0,258.44,0
West Berkshire District Council,1043.85,2323.31,211.04,4155.2,640.56,323.06,3.81,16.86,0,71.78,6.39,1.27,59.92,376.23,4.9,16.48,1.13,487.85,7.75
South Cambridgeshire District Council,0,972.22,0,4068.17,0,0.42,3.45,0,0,0,0,3.28,8.74,2932.67,6.28,0,0,0,0
Middlesbrough Borough Council,369.453,1470.051,238.663,1111.159,386.391,98.874,0.702,4.725,104.859,19.224,2.097,0,6.697,0,383.501,0,28.08,1605.656,0
Barrow-in-Furness Borough Council,0,239.2,0,536.04,0,0,0,0,0,0,0,54.29,0,1069.34,0,0,0,0,0
Torridge District Council,437.766,606.975,75.462,1266.663,0,18.499,0.486,0,0,0,0,258.09,18.941,0,120.896,6.84,0,0,0
