,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Composite,Plastic,Rubble,Paint
Cambridgeshire County Council,104.58,656.34,879.54,1314.54,2441.64,955.0100000000001,35.35,0.0,674.7,197.65,17.35,0.0,120.67,0.0,95.55,0.0,195.52,2147.48,7.64
North Devon District Council,610.35,1027.238,96.979,1551.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.303,0.0,31.171,0.0,138.664,0.0,0.0
Tewkesbury Borough Council,0.0,6.35,0.0,1275.8600000000001,0.0,9.219,0.204,0.0,0.0,0.0,0.0,27.07,53.895,2275.86,56.55,0.0,0.0,0.0,0.0
Sevenoaks District Council,525.5999999999999,194.24,0.0,594.88,0.0,8.68,0.0,0.0,0.0,0.0,0.0,0.0,43.757,1705.25,0.0,0.0,0.0,0.0,0.0
North West Leicestershire District Council,630.12,976.119,2.14,986.82,0.0,10.495999999999999,0.0,0.0,0.0,0.0,0.0,159.06600000000003,68.44999999999999,370.13,16.497,0.407,0.0,0.0,0.0
Norwich City Council,150.68,66.50999999999999,4.279999999999999,933.38,0.0,11.64,0.0,1.22,0.0,0.0,0.0,0.0,275.18,2929.828,96.6,0.01,13.62,0.0,0.0
East Northamptonshire Council,0.0,0.0,0.0,651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.41,2329.2,0.0,0.0,0.0,0.0,0.0
Oxford City Council,23.96,19.45,10.93,1482.5299999999997,0.0,29.159999999999997,0.82,0.0,0.0,0.0,0.0,339.34,119.4,3980.17,0.0,0.0,7.22,0.0,0.0
Somerset County Council,258.2,1046.73,1079.71,3571.01,1204.22,1095.3899999999999,34.71,0.0,0.0,212.64,8.24,128.24,187.04,0.0,0.0,5.91,25.03,0.0,0.0
Tameside MBC,0.0,1988.8,0.0,1644.27,0.0,6.72,0.0,0.0,0.0,0.0,0.0,0.0,4.28,2432.9,0.0,0.0,0.0,0.0,0.0
Sandwell MBC,30.46,145.7,198.64000000000001,2411.42,843.76,166.83,11.83,0.0,238.4,49.22,4.76,6.13,142.97,6853.320000000001,0.0,62.42,35.730000000000004,365.71,0.0
Bromley LB,181.5,3472.7799999999997,193.26,4309.18,806.86,279.58,0.0,0.0,0.0,24.72,2.66,147.46,44.75,2978.33,0.0,53.9,0.0,0.0,0.0
Newham LB,36.33,166.07,103.66,168.22,725.16,146.89999999999998,1.42,48.84,0.0,0.0,1.3499999999999999,994.65,36.45,3062.7400000000002,0.09,0.0,21.96,52.17,1.41
Huntingdonshire District Council,0.0,1.97,0.0,2817.42,0.0,0.71,0.0,0.0,0.0,0.0,0.0,5.46,61.96,4576.61,0.0,0.0,0.47,0.0,0.0
Hartlepool Borough Council,508.49,59.830000000000005,64.93,366.29999999999995,303.96,84.24000000000001,0.24,21.39,143.51999999999998,0.0,1.12,94.36,17.919999999999998,1413.61,0.0,18.36,30.07,357.23,0.0
Stockton-on-Tees Borough Council,780.9000000000001,1372.34,211.66,378.96000000000004,476.64,146.68,1.72,8.48,0.0,0.0,1.99,0.0,9.44,0.0,0.0,25.57,263.35,4206.3,0.0
Cumbria County Council,14.26,467.206,560.215,553.2,1670.26,804.349,19.519000000000002,27.175,0.0,290.86,8.85,2.243,336.15999999999997,0.0,0.0,0.0,34.86,2380.54,32.797
Mid Devon District Council,571.0,422.58299999999997,92.51500000000001,1968.56,0.0,2.97,0.0,0.0,0.0,0.0,0.0,66.62,36.116,28.301000000000002,0.0,0.0,45.43,0.0,0.0
Brentwood Borough Council,504.91999999999996,0.0,4.29,696.06,0.0,4.534000000000001,0.0,0.0,0.0,0.0,0.0,282.253,13.47,1549.9299999999998,29.466,0.0,0.0,0.0,0.0
Basingstoke and Deane Borough Council,1007.17,50.260000000000005,0.45,146.3,0.0,33.718,0.0,0.0,0.0,0.0,0.0,0.0,173.36700000000002,2346.55,0.0,0.0,1.303,0.0,0.0
Wychavon District Council,50.35,30.97,3.23,544.72,0.0,4.13,0.0,0.0,0.0,0.0,0.0,333.17,41.48,3537.22,14.31,0.0,0.0,0.0,0.0
Tonbridge and Malling Borough Council,598.48,761.87,82.41,2396.92,0.0,55.15,0.0,0.0,0.0,0.0,0.0,0.0,42.14,0.0,0.0,0.0,120.5,0.0,0.0
Wellingborough Borough Council,31.691,0.0,0.0,518.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.601,1751.8999999999999,0.0,0.0,0.0,0.0,0.0
West Somerset District Council,271.89,492.23799999999994,45.730999999999995,370.03999999999996,0.0,0.0,1.2,0.0,0.0,0.0,0.0,5.765,6.089,0.0,7.475,0.0,43.591,0.0,0.0
Forest Heath District Council,237.489,58.123999999999995,0.0,874.1800000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.924,25.064,1080.01,0.0,0.06,4.46,0.0,0.0
Warwickshire County Council,120.76,753.3299999999999,329.66999999999996,735.6899999999999,1985.77,771.3000000000001,37.24,0.13,0.0,145.04,7.82,0.0,475.09,0.0,32.53,2.82,16.16,0.0,0.0
St Helens MBC,1003.0,1540.9,256.6,1933.3,0.0,30.0,0.0,2.8,0.0,0.0,0.0,65.8,6.550000000000001,0.0,0.0,0.0,252.3,828.1,0.0
Gateshead MBC,57.040000000000006,999.88,138.87999999999997,378.83000000000004,0.0,225.21,5.67,14.26,0.0,64.61,3.17,4.16,589.96,3204.1,66.0,84.57000000000001,64.09,355.23,0.0
Hammersmith and Fulham LB,0.0,23.44,21.29,139.32,0.0,73.51,0.9800000000000001,0.0,0.0,0.0,0.56,54.24,57.99,2796.7400000000002,0.0,0.11,2.17,0.0,0.0
Wandsworth LB,0.0,43.18,35.43,366.08,0.0,97.33,1.07,1.16,0.0,0.0,0.95,184.83,80.0,5307.49,17.92,0.2,0.9,0.0,0.0
Slough Borough Council,0.0,61.019999999999996,112.26,470.8,204.64,49.47,2.84,3.5,27.1,16.08,1.04,0.0,86.80000000000001,2160.82,0.0,53.06,3.4,44.58,10.38
Aylesbury Vale District Council,0.0,0.0,0.0,2156.67,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,48.8,4428.96,1.2,0.0,1.41,0.0,0.0
Peterborough City Council,57.8,104.33,103.83,2747.7799999999997,552.3,136.14999999999998,5.37,0.0,156.26,53.06,3.42,256.22,51.11,4078.22,0.0,0.0,0.0,0.0,0.0
Copeland Borough Council,365.02,534.3199999999999,67.76,418.28,0.0,6.25,0.0,0.0,0.0,0.0,0.0,97.351,8.74,0.0,0.0,0.0,66.74,0.0,0.0
Devon County Council,218.735,1264.4750000000001,1253.54,3727.94,4134.075,1878.1919999999998,44.72,9.912,0.0,207.76,24.673000000000002,401.044,699.115,0.0,0.0,238.679,307.454,1022.183,0.0
Epping Forest Borough Council,870.4399999999999,11.917,1.26,2404.7,0.0,10.004999999999999,0.0,0.0,0.0,0.0,0.0,484.74,18.654,2758.031,4.638,0.608,0.0,0.0,0.0
Gosport Borough Council,254.74,44.17,0.0,32.8,0.0,2.6599999999999997,0.0,0.0,0.0,0.0,0.0,0.0,58.94,1161.28,0.0,0.0,0.0,0.0,0.0
Malvern Hills District Council,129.11,10.399999999999999,0.72,219.58,0.0,2.51,0.0,0.0,0.0,0.0,0.0,252.21,15.0,1739.8,0.0,0.0,0.0,0.0,0.0
East Hertfordshire District Council,0.0,857.77,0.0,2102.78,0.0,3.69,0.0,0.0,0.0,0.0,0.0,0.0,16.05,2379.42,0.0,0.0,0.0,0.0,0.0
Canterbury City Council,46.94,1156.6799999999998,0.0,1930.1,0.0,6.1000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,27.04,1763.12,0.0,0.0,0.0,0.0,0.0
Blackpool Borough Council,80.56,1242.7,97.498,846.96,429.5,179.15099999999998,4.26,0.0,32.84,21.66,1.48,9.398,94.447,1530.0,28.346,22.904,24.78,110.0,3.44
Leicestershire County Council,104.9,831.018,841.9670000000001,1935.5,0.01,952.105,34.858,0.0,0.0,340.18,17.4,74.264,170.71,0.0,42.376,0.0,6.792,0.0,0.14
Blaby District Council,52.186,97.79199999999999,5.917999999999999,636.4100000000001,0.0,9.004,0.51,0.0,0.0,0.0,0.0,734.316,137.72,2306.4869999999996,17.867,0.0,6.698,0.0,1.787
Broxtowe Borough Council,507.31000000000006,3.79,1.93,505.94,0.0,6.31,0.0,0.0,0.0,0.0,0.0,392.44,9.27,1860.12,0.0,0.25,0.0,0.0,0.0
Suffolk Coastal District Council,834.94,15.739999999999998,161.74,2421.3399999999997,24.92,1.75,7.82,15.64,0.0,2.3,0.016,375.405,31.1,2396.21,0.0,0.052,0.0,0.0,0.0
Stratford-on-Avon District Council,0.0,0.0,0.0,2273.12,0.0,9.92,0.9500000000000001,0.0,0.0,0.0,0.0,691.88,3.3689999999999998,3528.0,0.0,0.0,0.0,0.0,0.0
Sunderland City Council,0.0,152.04,111.12,206.3,0.0,145.05,1.03,10.48,0.0,52.09,0.39,74.48,372.78,4827.24,11.36,50.55,38.47,700.54,0.0
Kirklees MBC,1391.12,341.68000000000006,320.50999999999993,1824.56,1126.94,306.82,8.88,17.14,0.0,142.78,5.81,25.3,64.35,5905.41,0.0,1.24,16.02,1930.34,13.13
Wycombe District Council,0.0,1718.3200000000002,0.0,3043.62,0.0,0.0,0.585,7.38,0.0,0.0,0.0,0.0,32.72,2174.5099999999998,0.0,0.0,0.0,0.0,0.0
Portsmouth City Council,527.15,163.38,198.84,521.84,0.0,136.45,6.34,0.0,0.0,45.49,1.41,85.86,74.55000000000001,2236.03,0.0,0.0,0.0,611.22,0.0
Stevenage Borough Council,548.98,857.5999999999999,0.0,821.7,0.0,5.372999999999999,0.0,0.0,0.0,0.0,0.0,76.034,15.851,226.06,0.0,0.0,0.0,0.0,0.0
Gravesham Borough Council,232.72000000000003,10.95,15.040000000000001,1019.1700000000001,0.0,9.19,0.0,0.0,0.0,0.0,0.0,0.0,13.99,1520.8,0.0,0.0,0.0,0.0,0.0
Hinckley and Bosworth Borough Council,40.81,1137.183,6.535,932.7,0.0,18.109,0.0,0.0,0.0,0.0,0.0,736.8679999999999,87.367,1238.0,33.282,0.0,0.0,0.0,0.0
Broadland District Council,218.849,153.486,0.353,1720.08,0.0,17.505,0.0,0.0,0.0,0.0,0.0,0.331,151.789,2982.58,0.033,0.0,17.732999999999997,0.0,0.0
Northamptonshire County Council,87.92999999999999,870.72,497.92,1604.47,0.0,656.3100000000001,16.91,23.18,0.0,252.43,26.31,414.55,116.7,0.0,0.0,0.03,155.46,2245.26,101.06
Lichfield District Council,2.8949999999999996,3.8,0.0,1150.11,0.0,2.73,0.0,0.0,0.0,0.0,0.0,183.19,13.700000000000001,3137.2099999999996,0.0,0.0,0.0,0.0,0.0
City of London,0.0,0.0,0.0,31.68,0.0,3.35,0.0,0.0,0.0,0.0,0.0,27.42,2.46,214.93,0.0,0.0,0.0,0.0,0.0
Royal Borough of Kensington and Chelsea,0.0,30.73,27.48,255.59,0.0,71.1,0.8400000000000001,0.0,0.0,0.0,0.74,58.41,30.47,4094.8199999999997,0.0,0.15,0.71,0.0,0.0
Darlington Borough Council,653.9000000000001,1130.65,58.38,396.22,328.0,91.231,0.0,6.220000000000001,0.0,15.74,0.0,0.0,25.7,411.16,21.08,1.04,21.6,2894.72,0.0
Winchester City Council,403.89,5.22,0.0,651.9,0.0,4.46,0.0,0.0,0.0,0.0,0.0,0.0,63.02,1996.94,0.0,0.0,0.0,0.0,0.0
Shepway District Council,24.316,1293.944,0.0,1410.8600000000001,0.0,3.58,0.868,0.0,0.0,0.0,0.0,0.0,26.664,1738.69,0.0,0.0,0.0,0.0,0.0
Oadby and Wigston Borough Council,258.4,435.30999999999995,55.275999999999996,373.52,0.0,5.016,0.0,0.0,0.0,0.0,0.0,299.317,91.30799999999999,0.0,0.0,0.0,76.88,0.0,0.0
South Norfolk Council,327.98,149.29000000000002,0.8999999999999999,1056.66,0.0,22.337000000000003,0.0,4.68,0.0,1.48,0.0,1.05,288.101,3178.2599999999998,0.0,0.0,9.82,0.0,0.0
Kettering Borough Council,0.0,584.529,4.36,1402.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,1871.68,0.0,0.0,2.7,0.0,0.0
Nottinghamshire County Council,375.3,900.58,911.5899999999999,2866.64,3136.8,816.66,24.52,21.86,0.0,359.91,11.02,0.0,339.62,0.0,0.0,0.0,41.43,2760.73,0.0
Staffordshire Moorlands District Council,30.450000000000003,478.24,0.0,1573.4,0.0,1.94,0.0,0.0,0.0,0.0,0.0,497.25,15.86,1635.54,6.71,0.0,0.0,0.0,0.0
Reigate and Banstead Borough Council,0.0,2039.3,0.0,2098.0,0.0,5.34,0.0,0.0,0.0,0.0,0.0,330.0,85.9,1615.0,0.0,0.0,0.0,0.0,0.0
Chichester District Council,0.0,152.60000000000002,0.0,627.88,0.0,8.379999999999999,0.0,0.0,0.0,0.0,0.0,0.0,9.12,3146.9300000000003,0.0,0.0,0.0,0.0,0.0
Merseyside WDA (MBC),137.77,973.97,1446.02,2909.35,5844.63,1255.7730000000001,40.339999999999996,54.32,0.0,427.06,11.11,366.91,1304.54,393.26,0.0,588.6700000000001,593.6999999999999,6216.97,50.01
Croydon LB,29.835,2279.696,226.374,3298.44,1098.27,331.48900000000003,7.769,3.38,0.0,70.84,5.45,2.06,282.11,3077.7400000000002,0.0,90.952,112.075,1213.814,0.0
Richmond upon Thames LB,0.0,2858.205,136.64000000000001,2168.54,60.69,114.86000000000001,4.0200000000000005,0.0,0.0,29.44,1.14,26.18,85.88,2073.421,25.0,39.64,0.0,425.1,0.0
Warrington Borough Council,17.96,213.79,190.62,1815.92,805.918,166.197,7.519,0.0,0.0,29.35,4.1,148.775,147.415,4968.38,10.217,15.762,52.94,326.333,0.0
Amber Valley Borough Council,877.86,20.450000000000003,0.96,303.58,0.0,8.14,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2042.0800000000002,7.09,0.0,0.29,0.0,0.0
Castle Point Borough Council,554.358,5.670999999999999,6.875,1118.88,0.0,12.323999999999998,0.0,0.0,0.0,0.0,0.0,47.64,32.199999999999996,1804.04,5.127,0.0,0.171,0.0,0.0
Thurrock Council,0.0,63.16,62.973,1722.31,593.84,75.26,0.697,8.2,94.9,33.72,4.3,0.0,17.44,2847.3,0.0,0.0,0.0,263.44,5.027
East Hampshire District Council,862.7,2.1199999999999997,0.017,195.72,0.0,3.86,0.0,0.0,0.0,0.0,0.0,0.0,56.94,1983.72,0.0,0.0,0.01,0.0,0.0
Hertfordshire County Council,148.48,1264.9199999999998,1127.927,1126.2,1437.16,1311.826,40.85,27.826,0.0,195.76,24.244,6.07,267.65,82.74,0.0,0.781,313.75,1787.9,0.0
Tunbridge Wells Borough Council,598.48,1565.44,5.95,1679.4,0.0,10.25,0.0,0.0,0.0,0.0,0.0,0.0,20.686,265.8,0.0,0.0,0.0,0.0,0.0
Fylde Borough Council,20.85,941.67,0.0,868.98,0.0,3.9200000000000004,0.68,0.13,0.0,0.0,0.0,0.0,17.88,932.59,12.806000000000001,0.45,0.0,0.0,0.0
Blackburn with Darwen Borough Council,34.54,157.23,142.27,448.84000000000003,0.0,152.59,3.31,4.38,0.0,84.48,2.84,17.24,95.30000000000001,3319.0,0.0,42.44,66.66,0.0,0.0
Lincoln City Council,38.290000000000006,53.21999999999999,27.721000000000004,730.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.53,86.158,2212.4,2.481,8.3,0.0,0.0,0.0
Craven District Council,8.48,887.887,2.138,290.3,0.0,6.061,0.0,0.0,0.0,0.0,0.0,9.795,209.45100000000002,790.4300000000001,23.439,1.289,0.453,0.0,0.0
Tandridge District Council,4.36,77.25999999999999,0.22,1126.18,0.0,13.34,0.32,0.0,0.0,0.0,0.0,0.0,76.77,2596.88,14.0,0.0,0.39,0.0,0.0
Worthing Borough Council,0.0,25.790000000000003,0.0,514.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.28,2255.14,0.0,0.0,0.0,0.0,0.0
Sefton MBC,1766.03,1425.3899999999999,343.36,2461.08,0.0,15.37,0.0,0.0,0.0,0.0,0.0,0.0,55.54,1825.0,0.0,1.63,8.95,0.0,0.0
Newcastle-upon-Tyne City Council MBC,0.0,165.6,136.26,1448.82,774.0,197.16000000000003,1.07,12.24,0.0,48.0,0.45,8.0,33.809999999999995,4670.86,0.0,1.0,0.0,819.0,0.0
Harrow LB,0.0,0.0,133.3,3115.6,555.3,158.9,4.2,0.0,0.0,9.4,3.6,0.0,223.20000000000002,4292.5,0.0,46.2,0.0,0.0,0.0
South Bucks District Council,0.0,455.18300000000005,0.0,872.74,0.0,7.72,0.0,21.18,0.0,0.0,0.041,0.0,57.583000000000006,1308.288,0.0,0.0,0.0,0.0,0.0
Erewash Borough Council,0.0,0.0,0.0,692.86,0.0,27.209999999999997,0.0,0.0,0.0,0.0,0.0,0.5,2.0,2927.65,0.0,0.0,0.0,0.0,0.0
Plymouth City Council,363.08,377.6,313.12999999999994,1235.1,1225.62,430.80999999999995,10.809999999999999,2.02,0.0,118.60000000000001,6.6,57.17,108.95,4665.96,81.67,0.0,19.490000000000002,1358.36,0.0
Brighton and Hove Council,1801.6799999999998,249.90000000000003,169.68,410.0,197.0,257.0,7.5,2.1,93.3,48.3,4.1,77.68,123.06,2947.76,0.0,2.1,1.7,448.58000000000004,1.7
Harlow District Council,5.535,22.041,0.372,824.17,0.0,14.094,0.0,0.0,0.0,0.0,0.0,166.408,18.473,1997.199,0.0,0.0,0.472,0.0,0.0
Hart District Council,773.68,57.72,0.0,408.76,0.0,7.921,0.0,0.0,0.0,0.0,0.0,0.0,67.08,1595.75,0.0,0.0,0.0,0.0,0.0
Hertsmere Borough Council,19.047,637.4820000000001,0.193,1293.84,0.0,4.33,0.0,0.0,0.0,0.0,0.0,0.0,7.21,1325.54,0.0,0.0,0.639,0.0,0.0
Preston City Council,6.59,1348.97,16.98,868.5999999999999,0.0,12.739999999999998,0.02,0.97,0.0,3.64,0.0,122.96,12.441,1405.54,53.69,0.0,3.88,0.0,0.0
West Lindsey District Council,6.24,36.14,3.32,125.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.26,44.265,2490.47,0.0,3.5,0.0,0.0,0.0
Selby District Council,548.49,871.71,80.32,924.5,0.0,3.9299999999999997,0.0,0.0,0.0,0.0,0.0,0.0,178.14,0.0,107.7,1.2,192.1,0.0,0.0
Gedling Borough Council,765.1999999999999,22.56,3.32,316.94,0.0,22.094,0.0,0.0,0.0,0.0,0.0,242.72,6.88,2046.9799999999998,0.0,0.0,0.41,0.0,0.0
Staffordshire County Council,60.51,860.7,766.85,1300.88,263.15,1096.32,31.06,51.92,0.0,129.46,19.080000000000002,93.11,891.98,0.0,4.4,96.11,343.06,2691.46,135.25
Bolton MBC,4.59,2562.35,0.33,2253.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,13.56,2700.04,17.31,0.0,0.0,0.0,0.0
Leeds City Council MBC,2481.16,751.6000000000001,536.12,3951.4700000000003,2260.7000000000003,644.1600000000001,16.4,15.1,0.0,237.61,31.33,28.75,180.5,9144.0,290.02,2.36,4.58,0.0,38.1
Barnet LB,7.78,187.85,130.3,3447.38,787.84,206.89000000000001,11.51,7.62,0.0,27.06,4.1000000000000005,32.67,177.60000000000002,6761.08,18.94,0.0,2.0100000000000002,506.12,0.11
Lambeth LB,0.0,138.41,76.77,1384.2199999999998,244.34,167.01,3.24,6.54,0.0,0.0,1.25,60.040000000000006,59.199999999999996,4576.58,9.96,0.71,4.74,0.0,0.0
South Gloucestershire Council,1882.35,3122.45,591.5,3868.72,1649.1,451.09000000000003,12.200000000000001,13.620000000000001,0.0,141.6,13.76,23.3,436.82000000000005,945.1,0.0,50.26,107.16,875.5,0.0
Derbyshire Dales District Council,0.0,682.9449999999999,0.0,1091.1299999999999,0.0,8.02,0.0,0.0,0.0,0.0,0.0,0.0,18.236,1174.08,0.0,0.0,0.0,0.0,0.0
Lewes District Council,582.578,867.711,91.718,298.22,0.0,3.96,0.0,0.0,0.0,0.0,0.0,0.0,19.47,0.0,0.0,1.282,91.282,0.0,0.0
Tendring District Council,438.69,1313.84,0.0,600.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.302,23.842,270.76,110.962,0.968,0.0,0.0,0.0
Forest of Dean District Council,551.4200000000001,568.8199999999999,121.5,1374.72,0.0,5.14,1.53,0.0,0.0,0.0,0.0,6.78,42.88,0.0,52.16,2.33,44.98,0.0,0.0
Rushmoor Borough Council,516.48,6.890000000000001,0.0,231.36,0.0,2.52,0.0,0.0,0.0,0.0,0.0,0.0,47.03,1198.6,0.0,0.0,0.0,0.0,0.0
Bromsgrove District Council,10.27,20.5,0.0,520.16,0.0,4.56,0.0,0.0,0.0,0.0,0.0,509.49,19.26,2456.74,34.56,0.0,0.0,0.0,0.0
Three Rivers District Council,12.59,3.0500000000000003,0.0,1885.28,0.0,3.88,0.0,0.0,0.0,0.0,0.0,0.0,10.54,2722.2,0.0,0.0,0.0,0.0,0.0
Isle of Wight Council,53.0,63.0,398.0,2532.0,764.0,110.0,15.0,13.0,0.0,25.0,2.0,0.0,30.0,3433.0,5.0,0.0,73.0,794.0,0.0
West Lancashire Borough Council,20.61,1071.701,3.305,1244.96,0.0,10.71,0.0,0.0,0.0,0.0,0.0,0.554,22.830000000000002,1430.2,7.354,6.617999999999999,0.0,0.0,0.0
North Yorkshire County Council,229.6,1305.061,968.644,1633.48,2321.93,797.1870000000001,35.080999999999996,29.093,0.0,145.78,12.39,83.423,219.97899999999998,3.44,0.0,0.0,111.46000000000001,290.936,0.0
Rushcliffe Borough Council,534.63,22.73,0.0,1279.62,0.0,0.0,3.1,0.0,0.0,0.0,0.0,245.72,10.3,1898.56,0.0,2.32,0.0,0.0,0.0
Newcastle-under-Lyme Borough Council,702.825,1074.922,157.612,1528.6399999999999,0.0,4.66,0.0,0.0,0.0,0.0,0.0,881.02,22.079,0.0,18.85,1.54,222.082,0.0,0.0
Epsom and Ewell Borough Council,466.77,519.96,94.2,1096.76,0.0,6.38,0.0,0.0,0.0,0.0,0.0,578.0,24.79,768.64,2.04,0.0,1.69,0.0,0.0
West Sussex County Council,0.0,1292.61,1370.9799999999998,3692.18,841.21,2024.9,113.01,65.01,0.0,320.49,17.08,74.67999999999999,382.19,108.11,39.35,0.0,0.0,4271.76,0.0
Rochdale MBC,0.0,1684.46,0.0,901.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.15,26.587,2007.98,0.0,0.0,0.0,0.0,0.0
Rotherham MBC,140.74,1988.316,231.658,341.16,736.4,268.761,7.147,0.0,0.0,46.46,5.845,17.617,232.973,1681.026,0.0,204.66299999999998,123.82,853.32,0.0
Birmingham City Council,307.96,6926.07,413.43,2813.33,2685.72,579.0699999999999,20.99,0.0,0.0,0.0,19.0,47.58,241.07999999999998,4935.42,0.0,1.65,61.79,2707.92,0.0
Sutton LB,3.06,90.06,118.15,385.58,602.99,161.91000000000003,6.319999999999999,5.82,0.0,20.42,2.4,0.8,34.65,4022.3,0.0,37.4,46.64,554.62,0.0
Cambridge City Council,4.208,41.118,0.687,1650.98,0.0,6.95,1.275,0.0,0.0,0.0,0.0,30.82,34.641,3018.09,0.0,0.0,0.593,0.0,0.0
Redditch Borough Council,8.85,11.82,0.0,0.0,0.0,5.71,0.0,0.0,0.0,0.0,0.0,401.76,27.88,2147.01,19.72,0.0,0.0,0.0,0.0
Lancashire County Council,176.54000000000002,1785.1970000000001,1989.7040000000002,1512.98,5119.42,1365.375,41.027,517.38,0.0,243.9,32.255,0.0,263.14,0.0,223.2,80.52,578.99,0.0,2.16
Lincolnshire County Council,109.85,578.3050000000001,479.262,2133.22,2136.63,1024.6370000000002,34.993,0.0,83.5,195.88,5.46,27.66,135.775,0.0,22.01,67.40100000000001,170.145,1200.74,0.0
Nottingham City Council,63.62,83.83,92.53,603.46,427.61,147.49,3.51,0.0,12.64,31.7,2.37,272.67,29.979999999999997,5224.2699999999995,0.0,0.89,67.71,2200.95,0.0
South Oxfordshire District Council,9.4,9.291,0.0,2451.16,0.0,1.85,0.0,0.0,0.0,0.0,0.0,238.32,69.845,4460.47,0.0,0.0,0.694,0.0,0.0
Mendip District Council,797.943,1225.672,107.577,1127.03,0.0,0.0,3.825,0.0,0.0,0.0,0.0,32.205,57.74,0.0,7.933,0.0,147.941,0.0,0.0
Stoke-on-Trent City Council,19.357,265.43,156.608,443.24,776.91,282.727,6.13,0.0,55.36,60.68,4.93,466.04,44.956,3841.56,11.6,0.423,0.0,481.3,0.0
Runnymede Borough Council,34.06,10.785,0.0,877.8199999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.06,11.642,1774.15,33.0,0.0,0.0,0.0,0.0
Crawley Borough Council,0.0,0.05,0.0,323.78999999999996,0.0,17.42,0.0,0.0,0.0,0.0,0.0,0.0,36.93,1920.3,0.0,0.0,0.0,0.0,0.0
Trafford MBC,0.0,2906.67,0.0,5016.679999999999,0.0,4.22,0.0,0.0,0.0,0.0,0.0,0.0,29.33,2723.5,0.0,0.0,0.0,0.0,0.0
Solihull MBC,1188.918,234.15,113.17999999999999,628.58,488.31,168.531,6.431,0.0,0.0,27.87,3.956,50.636,50.451,3206.45,0.0,0.0,0.8,917.43,22.2
Enfield LB,0.0,145.73000000000002,100.16,2761.61,0.0,169.05,2.38,0.0,0.0,17.5,1.0,203.42,86.995,6284.03,18.697,0.0,25.3,265.8,0.0
Bracknell Forest Borough Council,645.38,131.15,136.58,1094.01,502.19,189.09,6.14,4.13,84.45,33.3,2.3,56.52,103.21,1891.02,0.0,4.87,8.42,369.28,19.17
Allerdale Borough Council,173.98,1161.66,8.34,610.3599999999999,0.0,5.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759.94,0.0,0.0,6.24,0.0,0.0
Bolsover District Council,19.441,344.439,0.0,391.66,0.0,9.1,0.0,0.0,0.0,0.0,0.0,1.12,8.121,1385.68,0.0,0.0,0.0,0.0,0.0
Wyre Forest District Council,22.88,2.85,0.0,125.5,0.0,2.46,0.0,0.0,0.0,0.0,0.0,352.66,19.26,2582.12,0.0,0.0,0.0,0.0,0.0
Hyndburn Borough Council,530.57,723.76,4.2,171.41,13.53,9.16,0.85,0.0,0.0,0.0,0.0,0.0,2.96,294.5,21.51,0.0,0.0,0.0,0.0
North Kesteven District Council,36.51,0.0,0.0,1081.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.69,4.631,2857.73,0.0,7.5,0.0,0.0,0.0
Hambleton District Council,591.6600000000001,704.3899999999999,99.24,931.47,0.0,1.99,0.0,0.307,0.0,0.0,0.0,339.813,24.018,0.0,0.0,1.41,101.53999999999999,0.0,0.0
South Somerset District Council,1220.294,1853.0859999999998,159.384,1783.42,0.0,0.0,5.008,0.0,0.0,0.0,0.0,51.269999999999996,71.676,0.0,23.991,0.0,218.68800000000002,0.0,0.0
Ipswich Borough Council,472.84,155.88000000000002,13.36,1293.3,32.26,49.52,0.0,0.0,0.0,2.54,0.0,179.22,85.21000000000001,2204.77,57.23,0.1,0.0,0.0,0.0
Waverley Borough Council,0.0,69.97,0.0,1428.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1798.0,35.18,3422.0,36.0,0.0,0.0,0.0,0.0
North Warwickshire Borough Council,195.56,894.4,58.07,973.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.57,0.65,0.0,0.0,0.0,131.55,0.0,0.0
Hillingdon LB,101.0,310.0,132.0,2076.0,234.0,180.0,2.0,0.0,0.0,30.0,2.0,0.0,208.0,5523.0,0.0,112.0,28.0,207.0,0.0
