Name,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Composite,Plastic,Rubble,Paint
Chelmsford Borough Council,1065.56,1745.43,158.66,2626.61,0,24.549,0,0,0,0,0,198.539,3.48,0,0,0,361.82,0,0
Eastleigh Borough Council,873.71,19.14,0,1081.87,0,2.14,2.38,0,0,0,0,0,85.04,2002.82,0,0,0,0,0
Herefordshire Council,45.26,210.61,444.92,937.95,668.3,155.41,9.68,8.3,0,71.84,6.09,0.11,28.135,4669.6,5.111,0.05,0,1045.78,0
Broxbourne Borough Council,491.62,565.3,6.44,1298.21,0,5.58,0,0,0,0,0,0,22.71,286.21,0,0,0,0,0
Kent County Council,340.48,1696.16,2175.07,3400.02,5653.14,1723.17,76.71,9.2,0,368.46,23.25,6.78,274.74,0,0,0.2,0,5262.36,0
Ashfield District Council,711.36,5.23,0,207.94,0,12.439,0,0,0,0,0,208.22,7.98,2145.02,0,0,0,0,0
Mid Suffolk District Council,1070.169,134.014,11.57,1236.84,0,0,0,0,0,0,0,247.095,46.535,3527.09,0,0.386,0,3.52,0
Nuneaton and Bedworth Borough Council,41.211,1094.755,10.05,1259.31,0,9.748,0,0,0,0,0,165.02,8.949,1393.66,0,0,0,0,0
Wirral MBC,20.625,2.8,0.45,1358.54,0,21.752,0,0,0,0,0,0,26.543,7364.39,0,1.595,0,0,0
North Tyneside Council,1179.41,174.85,168.61,968.04,786.45,197.67,4.28,6.85,0,59.02,0,2.62,85.64,2585.52,54.96,0,31.79,927.94,0
Bradford City MDC (MBC),207,2807,191,1727,1235,424.6,11,22,0,107,0,0,341,2241,124,59,0,559,14
West London Waste Authority,0,5.26,0.1,105.44,209.3,0,0,0,0,0,0,0,0,0,0,10.16,0,0,0
Redbridge LB,663.6,2155.3,222.3,1101.8,489.8,159.8,4.9,3.5,0,0,2,913.1,43.1,0,1,0,313.2,67.8,1.6
Wokingham Council,1097.4,192.88,294.95,1340.68,1018.94,319,12.18,11.53,152.47,62.75,4.6,5.11,138.59,2441.08,0,4.79,21.14,678.34,36.11
South Lakeland District Council,132.32,327.16,12.8,1375,0,0,0,0,0,0,0,204.214,0,1504.78,0,0,71.22,0,0
Torbay Council,1001.94,1418.93,296.3,1724.32,496.7,185.92,6.86,3.98,0,22.24,5.24,0,44.72,390.36,3.52,0,226.74,124.4,0.32
Maldon District Council,384.462,679.17,0,789.1,0,0,0,0,0,0,0,0,19.151,191.193,0,0.678,0,0,0
Havant Borough Council,477.14,22.822,31.08,244.34,0,4.38,0,0,0,0,0,0,66.123,2066.02,0,0,23.05,0,0
North Hertfordshire District Council,75.96,1057.13,0.93,2472.36,0,5.94,0,0,0,0,0,0,11.99,2403.06,0,0,0,0,0
Dover District Council,0,1130.06,0,1017.56,0,5.61,0.833,0,0,0,0,0,16.845,1340.09,0,0,0,0,0
Charnwood Borough Council,57.276,40.499,2.026,1246.12,0,42.919,1.864,0,0,0,0,257.668,85.078,4199.2,52.137,0,0.582,0,0
Norfolk County Council,215.72,642.59,805.694,2689.61,617.41,1527.385,51.188,6.6,0,170.25,24.809,161.155,167.56,0,0,94.213,76.58,939.83,0
Mansfield District Council,224.63,5.5,1.42,553.22,9.62,0,0,0,0,0,0,362.57,16.57,2002.98,0,0,0,0,0
Cannock Chase Council,0.314,1.56,0,986.88,0,0,0,0,0,0,0,153.91,10.861,2760.42,0,0,0,0,0
Swindon Borough Council,1130.4,2190.29,448.02,915.34,1129.04,264.57,12.99,0,0,71.72,5.17,0,34.21,0,39.02,0,443.43,1783.12,0
Wakefield City MDC,236.24,3470.73,290.65,1692.15,1174.93,385.35,10.65,29.04,0,133.44,8.5,5.35,265.73,2971.94,0,45.6,71.2,108.96,7.86
Camden LB,0,74.29,45.96,776.05,283.78,112.76,0,0,0,31.43,0.5,259.57,135.29,4568.68,6.25,0.06,7.7,262.98,0.24
Westminster City Council,1098.44,553.52,0,553.6,0,124.62,0.33,0,0,0,0,0,81.92,4832.16,0,0,0,0,0
Exeter City Council,564.28,224.45,15.57,313.94,4.14,6.579,0,0,0,0,0,29.44,90.364,2188.68,32.248,0.954,10.27,0,0
Southampton City Council,1077.38,148.06,293.51,937.92,0,156.86,14.39,0,240.4,80.78,2.02,113.38,94.86,2769.19,0,0,12.58,446.47,0
Watford Borough Council,3.48,3.64,0,817.42,0,4.055,0,0,0,0,0,0,4.89,2038.27,0,0,0,0,0
North Lincolnshire Council,930.679,1133.994,499.855,1753.13,765.62,322.759,11.461,6.436,0,19.44,5.45,120.409,181.988,993.975,30.136,138.284,102.58,1003.34,0.54
Melton Borough Council,0,3.526,0.054,396.2,0,0.303,0,0,0,0,0,89.028,36.054,1427.04,10.953,0,0.136,0,0
North Norfolk District Council,204.26,187.67,0,1042.03,0,1.84,0,0.94,0,0,0,0,222.03,2829.04,39.35,0,3.22,0,0
Ryedale District Council,417.33,543.6,108.07,442.35,0,2.48,0,0,0,0,0,0,15.72,0,0,1.78,68.89,0,0
Daventry District Council,516.59,860.31,111.02,1375.55,0,0,0,0,0,0,0,0,4.3,0,8.31,0,153.31,0,0
Stafford Borough Council,0,715.62,14.66,1389.72,0,18.02,0,0,0,0,0,285.95,0.34,2754.3,0,0,0,0,0
Guildford Borough Council,67.79,257.41,0.66,2126.44,0,11.08,1.8,0,0,0,0,1418,41.29,3672.237,339.94,0,1.87,0,0
Adur District Council,0,46.16,0,198.76,0,0,0,0,0,0,0,0,15.12,1411.42,0,0,0,0,0
Haringey LB,4.44,99.46,69.88,1398.78,462.12,170.33,0,3.26,0,62.32,4.35,297.88,112.1,5294.35,48.66,0.08,5.46,649.62,3.43
Bristol City Council,2851.34,4427.57,728.83,4099.58,1339.81,330.71,17.14,13.24,0,49.16,4.26,1,124.26,0,0,0,1496.32,1058.82,0
Council of the Isles of Scilly,18.99,0,36.6,0,0,10.01,0,0,0,0,0.56,0,0.66,0,0,0,0,52,0
Teignbridge District Council,1069.84,834.267,192.908,2923.417,9.74,11.479,0,0,0,0,0,538.638,76.74,0,24.8,3.039,208.762,3.46,0
Braintree District Council,827.37,97.61,0,2487.75,0,0,0,0,0,0,0,393.729,19.956,2710.87,0.36,0,0,0,0
Essex County Council,351.35,1439.529,1573.248,3439.78,6723.86,1920.946,39.038,91.814,0,414.14,60.725,0,359.34,0,51.243,0,22.3,0,4.328
Hampshire County Council,696.56,1659.68,2999.67,6740.56,0,1383.37,115.96,0,0,495.28,34.4,1054.71,329.29,0,0,0,19.4,5810.05,0
Thanet District Council,83.98,1256.93,12.4,1086.46,0,12.56,0,5.44,0,0,0,0,17.14,1158.62,0,0,0,0,0
Burnley Borough Council,15.46,669.49,0,268.98,0,5.73,0,0,0,0,0,0,4.31,761.64,15.55,0,0,0,0
Boston Borough Council,52.85,41.324,0.225,207.38,0,0,0,0,0,0,0,89.26,25.005,1664.9,2.788,0,1,0,0
South Northamptonshire District Council,17.96,24.44,24.34,1834.4,0,10.95,0.73,0,34.16,0,1.5,0,32.477,2416.2,0,0,0.8,64.04,0
Tamworth Borough Council,15.911,3.952,0,620.49,0,12.445,0,0,0,0,0,99.73,29.089,2026.48,0,0,0,0,0
Spelthorne Borough Council,0,0.97,0,811.37,0,0.96,0,0,0,0,0,791,42.933,2299.7,0,0.3,0,0,0
Horsham District Council,42.82,45.14,0,1500.634,0,11.6,0,0,0,0,0,0,31.71,3384.35,17.16,0,0,0,0
Liverpool City Council,0,18.22,0,1555.834,0,0,0,0,0,0,0,559.395,67.687,7368.94,65.997,0.878,0,0,0
Barking and Dagenham LB,34.4,110.4,117.4,322.4,876.8,154.2,3.9,2.6,0,0,2.5,100.7,31.2,2210.8,0.4,0,36.3,72.2,2
Royal Borough of Kingston upon Thames ,868.693,1849.057,242.619,1821.62,504.6,176.825,6.582,0,0,21.4,1.2,1,46.559,0,111.127,47.4,590.518,471.96,0
Wiltshire,3279.51,3947.86,1354.79,5511.1,0,1784.09,45.15,56.47,174.73,269.84,16.21,0,248.01,3496.73,34.45,16.97,282.46,719.93,11.1
Cornwall,432,996.94,1201.49,3739.66,2526.11,792.51,22.2,6.76,0,116.42,2.13,0.32,96.95,7989.4,58.39,0,39.04,523.16,0
Bedford,540.2,148.96,123.62,1354.52,83.58,206.07,9.28,2.2,0,13.66,3.7,33.9,88.4,2846.7,0,0,10.51,177.24,42.7
Central Bedfordshire,1355.94,315.82,395.58,3113.82,422.92,383.89,10.15,44.103,0,77.71,5.05,31.06,94.77,5531.98,0,0,16.42,826.34,557.15
Shropshire,1488.74,2482.29,322.62,4951.506,828.36,450.63,17.01,18.46,0,78.54,10.87,38.22,208.92,1818.18,0,9.56,75.67,210.58,0
Cheshire East,126.33,533.32,425.3,4790.46,1413.27,556.81,13.83,0,0,0,10.72,270.26,185.95,9694.58,25.55,0,112.95,1953.7,0
Cheshire West and Chester,2663.48,4130.062,954.444,6222.21,1425.66,534.14,18.815,1.8,0,0,13.923,161.94,314.556,150.3,91.27,0,1092.595,1899.81,1.7
Northumberland,1316.4,360.5,411.4,1680.5,1135.2,493.9,17.7,35.1,0,121.4,11.3,37.3,348.8,5182.5,0,2.2,123.6,1117.8,0
County Durham,2663.77,522.35,542.32,2088.4,1848.59,469.12,15.93,47.44,0,215.02,10.88,167.29,522.71,10000.15,0,4.93,246.97,1829.14,0
Dorset Waste Partnership,3168.73,1561.45,1234.67,9167.41,2194.88,768.67,39.22,17.02,0,202.34,20.05,410.22,444.28,7132.51,41.15,3.98,50.44,1114.56,13
